ANNO;ATECO25;ATECO22;CODICE_FISCALE;CODICE_REG;CODICE_UNITA;RAGIONE_SOCIALE;DESCRIZIONE_FORMA GIURIDICA;FG;FLAG_S13;STATO;
2025;84111;84111;85001450130;03;727206;COMUNE DI MONTEVECCHIA;Comuni;2430;1;1;
2025;84111;84111;03049970548;10;25499734;COMUNITA' MONTANA DEI MONTI MARTANI, SERANO E SUBASIO;Comunita' montane;2440;1;1;
2025;38110;38110;01816320897;19;29738737;SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONI RIFIUTI A.T.O. SIRACUSA;Enti di governo dei servizi idrici e/o dei rifiuti (ex AATO);1520;1;1;
2025;84111;84111;82004690705;14;722083;COMUNE DI CAMPOMARINO;Comuni;2430;1;1;
2025;84111;84111;86000680586;12;727861;IX COMUNITA' MONTANA DEL LAZIO DEI MONTI SABINI TIBURTINI CORNICOLANI PRENESTINI;Comunita' montane;2440;1;1;
2025;84123;84123;05103780879;19;29152782;SOCIETA' PER LA REGOLAMENTAZIONE DEL SERVIZIO DI GESTIONE RIFIUTI S.R.R. CATANIA SIGLA S.R.R. CATANIA AREA METROPOLITANA;Enti di governo dei servizi idrici e/o dei rifiuti (ex AATO);1520;1;1;
2025;84111;84111;00101810075;02;11116212;COMUNE DI OLLOMONT;Comuni;2430;1;1;
2025;84111;84111;00475610184;03;91205;COMUNE DI ZERBO;Comuni;2430;1;1;
2025;84111;84111;80011390269;05;707347;COMUNE DI CHIARANO;Comuni;2430;1;1;
2025;84111;84111;96004190821;19;112933;COMUNE DI MONTEMAGGIORE BELSITO;Comuni;2430;1;1;
2025;84111;84111;84515520017;01;12516870;COMUNE DI CARIGNANO;Comuni;2430;1;1;
2025;64210;64200;01602020990;07;23193167;FINANZIARIA SVILUPPO UTILITIES S.R.L.;Altri enti e istituzioni pubbliche locali;1320;1;1;
2025;84111;84111;00423230036;01;11119968;COMUNE DI BOGNANCO;Comuni;2430;1;1;
2025;84111;84111;80015700497;09;11138248;COMUNE DI SASSETTA;Comuni;2430;1;1;
2025;84111;84111;00254180243;05;48307;COMUNE DI BREGANZE;Comuni;2430;1;1;
2025;84111;84111;00177790912;20;11117055;COMUNE DI ORTUERI;Comuni;2430;1;1;
2025;82999;82999;90186450277;05;32443835;FONDAZIONE VENETO FILM COMMISSION;Altri enti e istituzioni pubbliche locali;1720;1;1;
2025;84111;84111;00480700046;01;11120800;COMUNE DI PAROLDO;Comuni;2430;1;1;
2025;84111;84111;80007650700;14;11137095;COMUNE DI COLLE D'ANCHISE;Comuni;2430;1;1;
2025;91420;91040;92057740091;07;10738246;ENTE PARCO DEL BEIGUA;Consorzi e enti gestori di parchi e aree naturali protette;2751;1;1;
2025;84111;84111;80003130806;18;701074;COMUNE DI SANTO STEFANO IN ASPROMONTE;Comuni;2430;1;1;
2025;72102;72190;03607980657;15;18726059;CONSORZIO OSSERVATORIO DELL'APPENNINO MERIDIONALE;Altri enti e istituzioni pubbliche locali;1510;1;1;
2025;84111;84111;00121130827;19;11116371;COMUNE DI SANTA FLAVIA;Comuni;2430;1;1;
2025;84111;84111;00453890170;03;11120424;COMUNE DI PONTEVICO;Comuni;2430;1;1;
2025;84111;84111;92001530051;01;11148587;COMUNE DI CASTELLO DI ANNONE;Comuni;2430;1;1;
2025;84111;84111;00775690019;01;11123610;COMUNE DI CASTIGLIONE TORINESE;Comuni;2430;1;1;
2025;84111;84111;00564140242;05;106585;COMUNE DI GRISIGNANO DI ZOCCO;Comuni;2430;1;1;
2025;84132;84131;90031690572;12;18661639;CONSORZIO OBBLIGATORIO COMUNI REATINI BACINO IMBRIFERO MONTANO NERA VELINO;Consorzio di Bacino Imbrifero Montano;2740;1;1;
2025;84111;84111;00310070198;03;11118745;COMUNE DI CASTELVISCONTI;Comuni;2430;1;1;
2025;84111;84111;81002530020;01;717918;COMUNE DI ROPPOLO;Comuni;2430;1;1;
2025;84111;84111;00342270212;04;67382;COMUNE DI VALLE AURINA;Comuni;2430;1;1;
2025;84111;84111;00141580621;15;19859;COMUNE DI LIMATOLA;Comuni;2430;1;1;
2025;84111;84111;80010170738;16;706663;COMUNE DI CAROSINO;Comuni;2430;1;1;
2025;84111;84111;00605220128;03;11122150;COMUNE DI AZZIO;Comuni;2430;1;1;
2025;84111;84111;00470070541;10;90138;COMUNE DI GIANO DELL'UMBRIA;Comuni;2430;1;1;
2025;90310;90040;00286400320;06;55961;ENTE REGIONALE TEATRALE DEL FRIULI-VENEZIA GIULIA (E.R.T.);Altri enti e istituzioni pubbliche locali;1710;1;1;
2025;84111;84111;00364600031;01;71353;COMUNE DI SAN NAZZARO SESIA;Comuni;2430;1;1;
2025;84111;84111;80006890950;20;11136931;COMUNE DI PALMAS ARBOREA;Comuni;2430;1;1;
2025;91210;91020;01765470479;09;27878387;ECOMUSEO DELLA MONTAGNA PISTOIESE;Altri enti e istituzioni pubbliche locali;1810;1;1;
