CODICE_UNITA_UG;CODICE_FISCALE;RAGIONE_SOCIALE;DESC_FG;FG;CODICE_REG
32655137;04587130271;ISTITUZIONI PUBBLICHE DI ASSISTENZA VENEZIANE IPAV;Istituto pubblico di assistenza e beneficenza;2712;05
11946;00106170590;COMUNE DI CORI;Comune;2430;12
135083;00720160167;COMUNE DI BRUSAPORTO;Comune;2430;03
141639;00754150100;UNIVERSITA' DEGLI STUDI DI GENOVA;Universita' pubblica;2620;07
169007;00873100150;COMUNE DI BUSTO GAROLFO;Comune;2430;03
175121;00897450243;LA C.A.S.A. CENTRO ASS. SERV. ANZIANI;Istituto pubblico di assistenza e beneficenza;2712;05
33832;00194080255;COMUNE DI CALALZO DI CADORE;Comune;2430;05
58490;00297380792;COMUNE DI AMATO;Comune;2430;18
61860;00311960504;COMUNE DI SANTA CROCE SULL'ARNO;Comune;2430;09
86774;00452160344;COMUNE DI PALANZANO;Comune;2430;08
114533;00609670138;COMUNE DI BARNI;Comune;2430;03
11119162;00347570798;COMUNE DI PIZZONI;Comune;2430;18
11119404;00368980025;COMUNE DI MONCRIVELLO;Comune;2430;01
698814;80000110041;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI CUNEO;Camera di commercio;2720;01
698953;80000330243;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI VICENZA;Camera di commercio;2720;05
704594;80007260211;STIFTUNG MARTINSHEIM KASTELRUTH OEFFENTLICHER BETRIEB FUER PFLEGE- UND BETREUUNGSDIENSTE;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
704681;80007370382;UNIVERSITA' DEGLI STUDI DI FERRARA;Universita' pubblica;2620;08
716695;81000490243;CENTRO RESIDENZIALE S.SCALABRIN;Istituto pubblico di assistenza e beneficenza;2712;05
720429;82000870889;COMUNE DI COMISO;Comune;2430;19
723491;83000690830;COMUNE DI MERI';Comune;2430;19
723736;83001190186;COMUNE DI NICORVO;Comune;2430;03
7550916;83001350871;IPAB VAGLIASINDI CASA DI RIPOSO PER ANZIANI E SERV.ALLA PE;Istituto pubblico di assistenza e beneficenza;2712;19
11116393;00122890577;COMUNE DI CITTAREALE;Comune;2430;12
11116521;00136120441;COMUNE DI OFFIDA;Comune;2430;11
11122996;00703420273;COMUNE DI FOSSALTA DI PIAVE;Comune;2430;05
11124544;00884000720;COMUNE DI MOLA DI BARI;Comune;2430;16
24073805;00773750211;AZIENDA SANITARIA DELL'ALTO ADIGE - SUEDTIROLER SANITAETSBETRIEB;Azienda o ente del servizio sanitario nazionale;2500;04
24073816;03499370710;AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI FOGGIA;Azienda o ente del servizio sanitario nazionale;2500;16
24193086;90030950944;CONSORZIO ASSOMAB;Consorzio di diritto pubblico;2740;14
25149281;92043820627;CONSORZIO SANNIO.IT;Consorzio di diritto pubblico;2740;15
25617011;01426410880;AZIENDA SANITARIA PROVINCIALE DI RAGUSA;Azienda o ente del servizio sanitario nazionale;2500;19
11137642;80010590307;COMUNE DI LUSEVERA;Comune;2430;06
11141739;82005370901;COMUNE DI AGGIUS;Comune;2430;20
11142087;83000470910;COMUNE DI NORAGUGUME;Comune;2430;20
12502794;01673090013;COMUNE DI ALPETTE;Comune;2430;01
699677;80001390741;AMMINISTRAZIONE PROVINCIALE DI  BRINDISI;Provincia;2420;16
