"fonte";"dataset_id";"nome_variabile_originale";"nome_variabile_standardizzato";"tipo_dato_originale";"tipo_dato_dopo_import";"unita_di_misura";"n_missing";"pct_missing";"n_valori_distinti";"esempi_valori";"note"
"ANAC";"CIG_2023";"cig";"cig";"character";"character";"n.d.";"0";"0,00";"655125";"9565604A21, 95956916B6, 9644923A3D";""
"ANAC";"CIG_2023";"cig_accordo_quadro";"cig_accordo_quadro";"character";"character";"n.d.";"529997";"80,90";"33843";"8575385790, 9171386327, 79900730D4";""
"ANAC";"CIG_2023";"numero_gara";"numero_gara";"character";"character";"n.d.";"0";"0,00";"561513";"8867782, 8895200, 8939123";""
"ANAC";"CIG_2023";"oggetto_gara";"oggetto_gara";"character";"character";"n.d.";"0";"0,00";"511767";"SERVIZI TECNICI DI PROGETTAZIONE, ESECUZIONE E COLLAUDO DELL'INTERVENTO DI 'AMPLIAMENTO DELL'EDIFICIO SCOLASTICO ADIBITO A SCUOLA DELL'INFANZIA IN VIA VITTORIO VENETO N. 18 IN LOC. PIEVE VECCHIA NEL COMUNE DI LUCIGNANO, ACCORDO QUADRO PER LA 'MANUTENZIONE ORDINARIA ED IL PRONTO INTERVENTO MANUTENTIVO A CARICO DELLE STRADE DELLA COSIDDETTA 'GRANDE VIABILITÀ' - LOTTO 11 - OPERE D'ARTE DI RILEVO IN CARICO AL DIPARTIMENTO SIMU (PONTI, GALLERIE, CAVALCAVIA, SOTTOVIA, ECC.) NEL TERRITORIO DEI MUNICIPI DA ROMA I A ROMA VII - I CONTRATTO APPLICATIVO, SERVIZIO DI SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO";""
"ANAC";"CIG_2023";"importo_complessivo_gara";"importo_complessivo_gara";"character";"character";"n.d.";"62";"0,01";"278759";"48000, 572000, 6e+05";""
"ANAC";"CIG_2023";"n_lotti_componenti";"n_lotti_componenti";"character";"character";"n.d.";"0";"0,00";"172";"1, 29, 37";""
"ANAC";"CIG_2023";"oggetto_lotto";"oggetto_lotto";"character";"character";"n.d.";"0";"0,00";"601784";"SERVIZI TECNICI DI PROGETTAZIONE, ESECUZIONE E COLLAUDO DELL'INTERVENTO DI 'AMPLIAMENTO DELL'EDIFICIO SCOLASTICO ADIBITO A SCUOLA DELL'INFANZIA IN VIA VITTORIO VENETO N. 18 IN LOC. PIEVE VECCHIA NEL COMUNE DI LUCIGNANO, ACCORDO QUADRO PER LA 'MANUTENZIONE ORDINARIA ED IL PRONTO INTERVENTO MANUTENTIVO A CARICO DELLE STRADE DELLA COSIDDETTA 'GRANDE VIABILITÀ' - LOTTO 11 - OPERE D'ARTE DI RILEVO IN CARICO AL DIPARTIMENTO SIMU (PONTI, GALLERIE, CAVALCAVIA, SOTTOVIA, ECC.) NEL TERRITORIO DEI MUNICIPI DA ROMA I A ROMA VII - I CONTRATTO APPLICATIVO, SERVIZIO DI SOMMINISTRAZIONE LAVORO A TEMPO DETERMINATO";""
"ANAC";"CIG_2023";"importo_lotto";"importo_lotto";"character";"character";"n.d.";"0";"0,00";"315834";"48000, 572000, 6e+05";""
"ANAC";"CIG_2023";"oggetto_principale_contratto";"oggetto_principale_contratto";"character";"character";"n.d.";"0";"0,00";"3";"SERVIZI, LAVORI, FORNITURE";""
"ANAC";"CIG_2023";"stato";"stato";"character";"character";"n.d.";"0";"0,00";"2";"ATTIVO, CANCELLATO";""
"ANAC";"CIG_2023";"settore";"settore";"character";"character";"n.d.";"0";"0,00";"2";"SETTORI ORDINARI, SETTORI SPECIALI";""
"ANAC";"CIG_2023";"luogo_istat";"luogo_istat";"character";"character";"n.d.";"165269";"25,23";"7894";"051021, 058091, 022205";""
"ANAC";"CIG_2023";"provincia";"provincia";"character";"character";"n.d.";"165329";"25,24";"108";"AREZZO, ROMA, TRENTO";""
