Dataset ;Dataset Originale;Nome_variabile;Nome_indicatore;Nome_filtro;Nome_sub_filtro;Formula;X1;X2;X3;Anno_di_riferimento;Note
INDICATORS_ANAC;CIG_2023 ;ind1;Numero totale di PA matchate;fil_anno;;Sum(unique(X1));Cf_amministrazione_appaltante;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind2;Percentuale di PA matchate rispetto al totale della lista MPA;fil_anno;;(Sum(unique(X1))/sum(unique(X2))*100;Cf_amministrazione_appaltante;codice_fiscale;;2026;
INDICATORS_ANAC;CIG_2023 ;ind3;Numero totale di Gare ;fil_anno;;sum(X1) ;CIG ;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind4;Numero totale di Gare Aggiudicate;fil_anno;;sum(X1) ;"ESITO==""AGGIUDICATA""";;;2026;
INDICATORS_ANAC;CIG_2023 ;ind5;Media GLOBALE numero di gare ;fil_anno;;X1/X2;ind3;ind1;;2026;
INDICATORS_ANAC;CIG_2023 ;ind6;Media GLOBALE importo lotto ;fil_anno;;mean(X1);importo_lotto;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind7;Media GLOBALE durata prevista;fil_anno;;mean(X1);DURATA_PREVISTA;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind8;Media GLOBALE durata effettiva;fil_anno;;mean(X1-X2);DATA_COMUNICAZIONE_ESITO;data_scadenza_offerta;;2026;
INDICATORS_ANAC;CIG_2023 ;ind9;Media GLOBALE finestra per partecipare;fil_anno;;mean(X1-X2);data_scadenza_offerta;data_pubblicazione;;2026;
INDICATORS_ANAC;CIG_2023 ;ind10;Media GLOBALE numero di gare aggiudicate;fil_anno;;X1/X2;ind4;ind1;;2026;
INDICATORS_ANAC;CIG_2023 ;ind11;Numero gare per PA;fil_anno;;sum(X1) ;Cf_amministrazione_appaltante;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind12;Importo lotto per PA;fil_anno;;sum(X1) ;importo_lotto;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind13;Media PONDERATA importo lotto per PA ;fil_anno;;mean(X1);importo_lotto;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind14;Media PONDERATA durata prevista per PA ;fil_anno;;mean(X1);DURATA_PREVISTA;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind15;Numero gare aggiudicate per PA;fil_anno;;sum(X1) ;"ESITO==""AGGIUDICATA""";;;2026;
INDICATORS_ANAC;CIG_2023 ;ind16;Percentuale gare aggiudicate per PA;fil_anno;;X1/X2*100;ind14;ind10;;2026;
INDICATORS_ANAC;CIG_2023 ;ind17;Media PONDERATA durata effettiva per PA;fil_anno;;mean(X1-X2);DATA_COMUNICAZIONE_ESITO;data_scadenza_offerta;;2026;
INDICATORS_ANAC;CIG_2023 ;ind18;Media PONDERATA finestra per partecipare per PA;fil_anno;;mean(X1-X2);data_scadenza_offerta;data_pubblicazione;;2026;
INDICATORS_ANAC;CIG_2023 ;ind19;Numero gare per PA;fil_anno;fil_mese;sum(X1) ;Cf_amministrazione_appaltante;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind20;Importo lotto per PA;fil_anno;fil_mese;sum(X1) ;importo_lotto;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind21;Media PONDERATA importo lotto per PA ;fil_anno;fil_mese;mean(X1);importo_lotto;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind22;Media PONDERATA durata prevista per PA ;fil_anno;fil_mese;mean(X1);DURATA_PREVISTA;;;2026;
INDICATORS_ANAC;CIG_2023 ;ind23;Numero gare aggiudicate per PA;fil_anno;fil_mese;sum(X1) ;"ESITO==""AGGIUDICATA""";;;2026;
INDICATORS_ANAC;CIG_2023 ;ind24;Percentuale gare aggiudicate per PA;fil_anno;fil_mese;X1/X2*100;ind14;ind10;;2026;
INDICATORS_ANAC;CIG_2023 ;ind25;Media PONDERATA durata effettiva per PA;fil_anno;fil_mese;mean(X1-X2);DATA_COMUNICAZIONE_ESITO;data_scadenza_offerta;;2026;
INDICATORS_ANAC;CIG_2023 ;ind26;Media PONDERATA finestra per partecipare per PA;fil_anno;fil_mese;mean(X1-X2);data_scadenza_offerta;data_pubblicazione;;2026;
