"fonte";"dataset_id";"nome_variabile_originale";"nome_variabile_standardizzato";"tipo_dato_originale";"tipo_dato_dopo_import";"unita_di_misura";"n_missing";"pct_missing";"n_valori_distinti";"esempi_valori";"note"
"PagoPA S.p.a";"IO_Distribuzione_geografica_enti_e_servizi";"regione";"regione";"character";"character";"n.d.";"0";"0";"20";"Calabria, Lombardia, Trentino-Alto Adige/Südtirol";""
"PagoPA S.p.a";"IO_Distribuzione_geografica_enti_e_servizi";"categoria";"categoria";"character";"character";"n.d.";"0";"0";"2";"Comuni, Istruzione";""
"PagoPA S.p.a";"IO_Distribuzione_geografica_enti_e_servizi";"numero_enti";"numero_enti";"numeric";"numeric";"n.d.";"0";"0";"40";"397, 1440, 111";""
"PagoPA S.p.a";"IO_Distribuzione_geografica_enti_e_servizi";"numero_servizi";"numero_servizi";"numeric";"numeric";"n.d.";"0";"0";"40";"13291, 40845, 115";""
"PagoPA S.p.a";"IO_Messaggi_inviati_da_servizi";"anno_mese";"anno_mese";"character";"character";"n.d.";"0";"0";"30";"2024-01, 2024-02, 2024-03";""
"PagoPA S.p.a";"IO_Messaggi_inviati_da_servizi";"numero_messaggi";"numero_messaggi";"numeric";"numeric";"n.d.";"0";"0";"30";"31450999, 23733127, 22633710";""
"PagoPA S.p.a";"pagoPA_Distribuzione_del_numero_di_transazioni_per_fascia_di_importo_e_categoria_di_ente_creditore";"anno";"anno";"character";"character";"n.d.";"0";"0";"4";"2024, 2025, 2026";""
"PagoPA S.p.a";"pagoPA_Distribuzione_del_numero_di_transazioni_per_fascia_di_importo_e_categoria_di_ente_creditore";"categoria";"categoria";"character";"character";"n.d.";"0";"0";"21";"ACI, Altri enti territoriali, Comuni";""
"PagoPA S.p.a";"pagoPA_Distribuzione_del_numero_di_transazioni_per_fascia_di_importo_e_categoria_di_ente_creditore";"fascia_importo";"fascia_importo";"character";"character";"n.d.";"0";"0";"7";"(0-25], (100-200], (200-500]";""
"PagoPA S.p.a";"pagoPA_Distribuzione_del_numero_di_transazioni_per_fascia_di_importo_e_categoria_di_ente_creditore";"numero_transazioni";"numero_transazioni";"numeric";"numeric";"n.d.";"0";"0";"554";"13768408, 13056022, 12146031";""
"PagoPA S.p.a";"pagoPA_Distribuzione_mensile_del_numero_di_transazioni_per_categoria_di_ente_creditore";"anno_mese";"anno_mese";"character";"character";"n.d.";"0";"0";"30";"2024-01, 2024-02, 2024-03";""
"PagoPA S.p.a";"pagoPA_Distribuzione_mensile_del_numero_di_transazioni_per_categoria_di_ente_creditore";"categoria";"categoria";"character";"character";"n.d.";"0";"0";"20";"ACI, Altri enti territoriali, Comuni";""
"PagoPA S.p.a";"pagoPA_Distribuzione_mensile_del_numero_di_transazioni_per_categoria_di_ente_creditore";"numero_transazioni";"numero_transazioni";"numeric";"numeric";"n.d.";"0";"0";"591";"6936239, 479221, 4705502";""
"PagoPA S.p.a";"SEND_Distribuzione_dei_principali_ambiti_di_notifica";"anno";"anno";"character";"character";"n.d.";"0";"0";"4";"Complessivo, 2026, 2025";""
"PagoPA S.p.a";"SEND_Distribuzione_dei_principali_ambiti_di_notifica";"ambito";"ambito";"character";"character";"n.d.";"0";"0";"14";"Polizia Locale, Recupero Bolli non Pagati, Riscossione Coattiva";""
"PagoPA S.p.a";"SEND_Distribuzione_dei_principali_ambiti_di_notifica";"numero_notifiche";"numero_notifiche";"numeric";"numeric";"n.d.";"0";"0";"39";"13752376, 10655943, 4688594";""
"PagoPA S.p.a";"SEND_Distribuzione_dei_principali_ambiti_di_notifica";"ranking";"ranking";"numeric";"numeric";"n.d.";"0";"0";"10";"1, 2, 3";""
"PagoPA S.p.a";"SEND_Distribuzione_del_numero_di_notifiche";"anno_mese";"anno_mese";"character";"character";"n.d.";"0";"0";"30";"2026-06, 2026-05, 2026-04";""
"PagoPA S.p.a";"SEND_Distribuzione_del_numero_di_notifiche";"notifiche_analogiche";"notifiche_analogiche";"numeric";"numeric";"n.d.";"0";"0";"30";"943856, 1709876, 1806109";""
"PagoPA S.p.a";"SEND_Distribuzione_del_numero_di_notifiche";"notifiche_digitali";"notifiche_digitali";"numeric";"numeric";"n.d.";"0";"0";"30";"377318, 543276, 739427";""
"PagoPA S.p.a";"SEND_Distribuzione_del_numero_di_notifiche";"notifiche_totali";"notifiche_totali";"numeric";"numeric";"n.d.";"0";"0";"30";"1321174, 2253152, 2545536";""
"PagoPA S.p.a";"SEND_Distribuzione_geografica_dei_Comuni_su_SEND";"anno";"anno";"character";"character";"n.d.";"0";"0";"4";"Complessivo, 2026, 2025";""
"PagoPA S.p.a";"SEND_Distribuzione_geografica_dei_Comuni_su_SEND";"regione";"regione";"character";"character";"n.d.";"0";"0";"20";"Abruzzo, Basilicata, Calabria";""
"PagoPA S.p.a";"SEND_Distribuzione_geografica_dei_Comuni_su_SEND";"numero_comuni";"numero_comuni";"numeric";"numeric";"n.d.";"0";"0";"74";"282, 124, 376";""
"PagoPA S.p.a";"SEND_Distribuzione_geografica_dei_Comuni_su_SEND";"percentuale_comuni";"percentuale_comuni";"numeric";"numeric";"n.d.";"0";"0";"51";"0.92, 0.95, 0.93";""
