ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;061000;POSIZIONE ECONOMICA EP3
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;0E6000;POSIZIONE ECONOMICA EP6
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;0E7000;POSIZIONE ECONOMICA EP7
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;062000;POSIZIONE ECONOMICA EP4
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;060000;POSIZIONE ECONOMICA EP2
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;063000;POSIZIONE ECONOMICA EP5
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;0E8000;POSIZIONE ECONOMICA EP8
2023;UNIV;PE;PERSONALE ELEVATE PROFESSIONALITA;CE;CATEGORIA EP;059000;POSIZIONE ECONOMICA EP1
2023;PPSS;ND;PERSONALE NON DIRIGENTE;AS;ASSISTENTI E AGENTI;013257;AGENTE
2023;PPSS;ND;PERSONALE NON DIRIGENTE;AS;ASSISTENTI E AGENTI;013179;AGENTE SCELTO
2023;PPSS;ND;PERSONALE NON DIRIGENTE;AS;ASSISTENTI E AGENTI;013181;ASSISTENTE
2023;PPSS;ND;PERSONALE NON DIRIGENTE;AS;ASSISTENTI E AGENTI;013955;ASSISTENTE CAPO + 5  ANNI QLF
2023;PPSS;ND;PERSONALE NON DIRIGENTE;AS;ASSISTENTI E AGENTI;013954;"ASSISTENTE CAPO ""COORDINATORE"
