ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2023;AFAM;AT;3;Fondo dell'istituzione scolastica;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AFAM;AT;3;Fondo dell'istituzione scolastica;9;Risorse variabili;F;FINANZIA
2023;AFAM;AT;3;Fondo dell'istituzione scolastica;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AFAM;AT;3;Fondo dell'istituzione scolastica;81;Decurtazioni;F;FINANZIA
2023;AGFI;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGFI;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;AGFI;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGFI;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2023;AGFI;ND;53;Posizioni organizzative (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;AGFI;ND;53;Posizioni organizzative (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGFI;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;AGFI;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGFI;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;AGFI;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGFI;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;AGFI;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGFI;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;AGFI;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGFI;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;AGFI;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGFI;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;AGID;ND;30;Poste temporaneamente allocate all'esterno del Fondo;2;Risorse a carico del bilancio;F;FINANZIA
2023;AGID;ND;30;Poste temporaneamente allocate all'esterno del Fondo;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGID;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGID;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;AGID;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGID;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2023;AGID;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;AGID;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGID;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;AGID;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGID;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;AGID;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGID;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;AGID;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;AGID;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;AGID;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;AGID;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;ASSI;ND;23;Risorse attività prestazioni committenti esterni;9;Risorse variabili;F;FINANZIA
2023;ASSI;ND;23;Risorse attività prestazioni committenti esterni;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;ND;26;Risorse per il trattamento accessorio;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ASSI;ND;26;Risorse per il trattamento accessorio;9;Risorse variabili;F;FINANZIA
2023;ASSI;ND;26;Risorse per il trattamento accessorio;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;ND;26;Risorse per il trattamento accessorio;81;Decurtazioni;F;FINANZIA
2023;ASSI;ND;60;Fondo per le progressioni economiche di livello;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ASSI;ND;60;Fondo per le progressioni economiche di livello;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;ND;60;Fondo per le progressioni economiche di livello;81;Decurtazioni;F;FINANZIA
2023;ASSI;ND;61;Poste temporaneamente allocate all'esterno del Fondo risorse accessorie;10;Risorse temporaneamente allocate all'esterno del Fondo;F;FINANZIA
2023;ASSI;ND;61;Poste temporaneamente allocate all'esterno del Fondo risorse accessorie;11;Destinazioni temp allocate all'esterno del Fondo effettivamente erogate;U;UTILIZZO
2023;ASSI;ND;62;Poste temporaneamente allocate all'esterno del Fondo art. 90;10;Risorse temporaneamente allocate all'esterno del Fondo;F;FINANZIA
2023;ASSI;ND;62;Poste temporaneamente allocate all'esterno del Fondo art. 90;11;Destinazioni temp allocate all'esterno del Fondo effettivamente erogate;U;UTILIZZO
2023;ASSI;RT;7;Risorse trattamento accessorio e valorizzazione profess.le;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ASSI;RT;7;Risorse trattamento accessorio e valorizzazione profess.le;9;Risorse variabili;F;FINANZIA
2023;ASSI;RT;7;Risorse trattamento accessorio e valorizzazione profess.le;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;RT;7;Risorse trattamento accessorio e valorizzazione profess.le;81;Decurtazioni;F;FINANZIA
2023;ASSI;RT;23;Risorse attività prestazioni committenti esterni;9;Risorse variabili;F;FINANZIA
2023;ASSI;RT;23;Risorse attività prestazioni committenti esterni;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;1F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ASSI;1F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;ASSI;1F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;1F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;ASSI;2F;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;ASSI;2F;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;ASSI;2F;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;ASSI;2F;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;CDIP;CD;44;Fondo retribuzione di posizione e risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;CDIP;CD;44;Fondo retribuzione di posizione e risultato;9;Risorse variabili;F;FINANZIA
2023;CDIP;CD;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;CDIP;CD;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;CNEL;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;CNEL;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;CNEL;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;CNEL;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
