ANNO;CODI_TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;A;015;STIPENDIO;+
2023;A;035;"TREDICESIMA MENSILITA'";+
2023;A;070;RECUPERI PER RITARDI ASSENZE ECC.;-
2023;A;033;DIFFERENZIALE STIPENDIALE MATURATO;+
2023;A;045;ARRETRATI PER ANNI PRECEDENTI;+
2023;A;031;R.I.A.;+
2023;A;034;DIFFERENZIALE STIPENDIALE/ECONOMICO DI PROFESSIONALITÀ;+
2023;A;032;PROGRESSIONE PER CLASSI E SCATTI/FASCE RETRIBUTIVE;+
2023;A;020;I.I.S.;+
2023;S;720;INCENTIVI PER FUNZIONI TECNICHE;+
2023;S;630;"COMPENSI PRODUTTIVITA'";+
2023;S;615;"INDENNITA' PER SPECIFICHE RESPONSABILITA'";+
2023;S;604;COMPENSI ONERI RISCHI E DISAGI;+
2023;I;125;IND. DI VIGILANZA;+
2023;I;418;ASSEGNO AD PERSONAM;+
2023;S;999;"ALTRE SPESE ACCESSORIE ED INDENNITA' VARIE";+
2023;I;422;IND. DI VACANZA CONTRATTUALE;+
2023;I;424;INDENNITÀ ART. 42, COMMA 5-TER, D.LGS. 151/2001;+
2023;S;998;ARRETRATI ANNI PRECEDENTI;+
2023;I;143;PERSONALE SCOLASTICO;+
2023;T;101;STRAORDINARIO;+
2023;I;207;RETRIBUZIONE DI POSIZIONE;+
2023;I;222;INDENNITA DI COMPARTO;+
2023;I;212;RETRIBUZIONE DI RISULTATO;+
2023;S;771;INDENNITÀ DI FUNZIONE;+
2023;I;223;RETRIBUZIONE AGGIUNTIVA PER SEDI CONVENZIONATE;+
2023;S;761;"COMPETENZE PERSONALE COMANDATO/DISTACCATO PRESSO L'AMM.NE";+
2023;S;740;DIRITTI DI ROGITO E IND.SCAVALCO;+
2023;S;190;"INDENNITA' DI STAFF/COLLABORAZIONE";+
2023;S;710;COMPENSO AGGIUNTIVO AL SEGR. COMUNALE QUALE DIR. GENERALE;+
2023;S;750;ONORARI AVVOCATI;+
2023;I;402;IND.SECONDA LINGUA;+
2023;I;144;"INDENNITA' DI ENTE";+
2023;I;426;"INDENNITA' PROFESSIONALI";+
2023;S;616;"INDENNITA'  FUNZIONE POSIZIONI ORGANIZZATIVE";+
2023;S;711;"INDENNITA' DI SPECIFICHE RESPONSABILITA'";+
2023;S;670;PROGETTI SPECIALI ( ART.18 L.88/89 );+
2023;I;507;RETRIBUZIONE DI POSIZIONE - QUOTA VARIABILE;+
2023;S;708;"INCENTIVI ALLA MOBILITA'";+
2023;I;106;"INDENNITA' DI ISTITUTO";+
2023;I;129;IND. AREA DIRETTIVA E POSIZIONI PARTICOLARI;+
2023;I;224;"INDENNITA' MENSILE";+
2023;S;130;"INDENNITA' DI AMMINISTRAZIONE";+
2023;I;530;"INDENNITA' RETTORALE";+
2023;I;602;ASSEGNO AGGIUNTIVO;+
2023;S;611;SUPPLENZE;+
2023;I;421;"INDENNITA' DE MARIA";+
2023;I;240;UNA TANTUM PROFESSORI E RICERCATORI;+
2023;I;146;"INDENNITA' DI RISCHIO DA RADIAZIONI";+
2023;I;315;"INDENNITA' ACCESSORIA MENSILE";+
2023;I;304;"INDENNITA' DI ATENEO";+
2023;I;145;"INDENNITA' DI RESPONSABILITA'";+
2023;S;400;COMPENSI ACCESSORI;+
2023;I;400;"INDENNITA' FISSE";+
2023;I;340;"INDENNITA' DI ENTE MENSILE";+
2023;I;330;"INDENNITA' DI ENTE ANNUALE";+
2023;S;201;"INDENNITA' DI TURNO";+
2023;I;139;IND. DELLA VALORIZZAZIONE PROFESSIONALE;+
2023;I;227;MAGGIORAZIONE RETRIB. DI POSIZIONE DIRETTORE DIPARTIMENTO;+
2023;S;212;ALTRI COMPENSI PER PARTICOLARI CONDIZIONI DI LAVORO;+
2023;S;204;"PRONTA DISPONIBILITA'";+
2023;I;204;"INDENNITA' DI ESCLUSIVITA'";+
2023;I;202;IND DIREZ. STRUTT. COMP.;+
2023;I;216;"INDENNITA' DI SPECIFICITA' MEDICO-VETERINARIA";+
2023;S;820;COMPENSO PER TURNI DI GUARDIA NOTTURNI DIRIGENTI;+
2023;I;533;"INDENNITA' PROFESSIONALE SPECIFICA";+
2023;S;199;"INDENNITA' PER L'OPERATIVITA' NEI SERVIZI DI PRONTO SOCCORSO";+
2023;S;203;ALTRI COMPENSI ACCESSORI PERSONALE UNIVERSITARIO;+
2023;I;305;"INDENNITA' DI POSIZIONE";+
2023;S;806;"INDENNITA' DI COORDINAMENTO";+
2023;I;437;"INDENNITA' DI SPECIFICITA' INFERMIERISTICA";+
2023;I;101;"INDENNITA' DI FUNZIONE";+
2023;I;438;"INDENNITA' TUTELA DEL MALATO E PROMOZIONE DELLA SALUTE";+
2023;I;518;IND. EXTRACONTR. NON FINANZ. CON FUA;+
2023;S;603;"TRATTAM. ACCESS. ALL'ESTERO";+
2023;S;760;"INDENNITA' UFFICI DIRETTA COLLABORAZIONE MINISTRO";+
2023;I;110;"INDENNITA' DI AMMINISTRAZIONE";+
2023;I;149;INDENN. STRUTTURE PARTIC. RILIEVO E ART. 22 DPR 171/91;+
2023;I;148;INDENN. PER ONERI SPECIFICI;+
2023;I;147;"INDENNITA' RESPONSABILITA' PROFESSIONALE";+
2023;I;155;RETRIB. PROF.LE DOCENTI;+
2023;S;127;"ATTIVITA' AGGIUNTIVE";+
