ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C1485;RALN;DI;0D0165;A24;2;0
R9197;RALN;DI;0D0165;A24;1;0
C1679;RALN;DI;0D0165;A24;1;0
C7179;RALN;DI;0D0165;A24;0;1
C5929;RALN;DI;0D0165;A23;2;0
UC12400;RALN;DI;0D0165;A30;0;1
P9104;RALN;DI;0D0165;A24;1;0
C5917;RALN;DI;0D0165;A24;0;1
C3857;RALN;DI;0D0165;A24;0;1
IP10522;RALN;DI;0D0165;A24;1;0
C5064;RALN;DI;0D0165;A23;1;0
C5961;RALN;DI;0D0165;A23;2;0
C2077;RALN;DI;0D0165;A23;1;0
CS11071;RALN;DI;0D0165;A24;1;0
C2996;RALN;DI;0D0165;A24;1;0
P9115;RALN;DI;0D0165;A30;2;1
C7877;RALN;DI;0D0165;A24;1;0
C441;RALN;DI;0D0165;A23;0;1
P9040;RALN;DI;0D0165;A24;1;0
C3119;RALN;DI;0D0165;A23;1;0
C2591;RALN;DI;0D0165;A23;0;1
C6807;RALN;DI;0D0165;A24;1;0
C2399;RALN;DI;0D0165;A24;1;0
C1869;RALN;DI;0D0165;A24;1;0
R9193;RALN;DI;0D0165;A24;6;2
C4963;RALN;DI;0D0165;A23;0;1
ER11810;RALN;DI;0D0165;A23;0;1
R9209;RALN;DI;0D0165;A24;1;1
C5699;RALN;DI;0D0165;A23;0;1
P9043;RALN;DI;0D0165;A24;2;0
R9196;RALN;DI;0D0165;A24;7;2
C7987;RALN;DI;0D0165;A23;0;2
C6345;RALN;DI;0D0165;A24;1;0
C5532;RALN;DI;0D0165;A24;1;1
V9777;RALN;DI;0D0165;A23;0;1
C792;RALN;DI;0D0165;A24;1;0
P9033;RALN;DI;0D0165;A24;0;1
C7095;RALN;DI;0D0165;A23;1;0
C3697;RALN;DI;0D0165;A24;0;1
C6561;RALN;DI;0D0165;A23;0;1
CS10896;RALN;DI;0D0165;A23;1;0
C4054;RALN;DI;0D0165;A23;1;0
C3079;RALN;DI;0D0165;A24;0;1
C1769;RALN;DI;0D0165;A24;1;0
C5591;RALN;DI;0D0165;A23;2;0
CM12344;RALN;DI;0D0165;A24;0;2
CS10366;RALN;DI;0D0165;A24;1;0
C4618;RALN;DI;0D0165;A24;1;0
UC9994;RALN;DI;0D0165;A24;0;1
C6781;RALN;DI;0D0165;A24;0;1
C5843;RALN;DI;0D0165;A24;1;0
P9095;RALN;DI;0D0165;A24;0;1
C6755;RALN;DI;0D0165;A23;1;0
C8217;RALN;DI;0D0165;A24;1;0
C5513;RALN;DI;0D0165;A24;1;0
C5525;RALN;DI;0D0165;A24;1;0
P9086;RALN;DI;0D0165;A24;1;0
C3073;RALN;DI;0D0165;A23;0;1
CM9053;RALN;DI;0D0165;A24;0;1
C7625;RALN;DI;0D0165;A23;1;0
C6255;RALN;DI;0D0165;A24;1;0
C4577;RALN;DI;0D0165;A24;1;0
C305;RALN;DI;0D0165;A24;1;0
P9063;RALN;DI;0D0165;A23;1;0
C1390;RALN;DI;0D0165;A24;0;1
C626;RALN;DI;0D0165;A23;1;0
C8150;RALN;DI;0D0165;A24;0;1
