ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C12482;PRTN;CC;0CE000;C28;1;0
C7252;PRTN;CC;0CE000;C28;0;1
IP11007;PRTN;CC;0CE000;C03;0;1
C4385;PRTN;CC;0CE000;C01;0;1
N10881;PRTN;CC;0CE000;C18;0;1
C1937;PRTN;CC;0CE000;C18;0;1
C3814;PRTN;CC;0CE000;C01;1;0
IP11050;PRTN;CC;0CE000;C03;0;1
C14127;PRTN;CC;0CE000;C18;0;1
RS9830;PRTN;CC;0CE000;C01;1;0
C3883;PRTN;CC;0CE000;C18;1;0
N10875;PRTN;CC;0CE000;C28;1;0
C802;PRTN;CC;0CE000;C03;1;0
C12494;PRTN;CC;0CE000;C18;0;1
C10789;PRTN;CC;0CE000;C03;1;0
IP11013;PRTN;CC;0CE000;C28;0;1
C5207;PRTN;CC;0CE000;C18;0;1
RS9830;PRTN;CC;0CE000;C19;0;1
ES183;PRTN;CC;0CE000;C18;0;1
IP11029;PRTN;CC;0CE000;C28;0;1
C948;PRTN;CC;0CE000;C01;1;0
IP11013;PRTN;CC;0CE000;C03;0;1
C299;PRTN;CC;0CE000;C28;1;0
C7384;PRTN;CC;0CE000;C99;1;0
IP11002;PRTN;CC;0CE000;C28;0;1
C5774;PRTN;CC;0CE000;C03;1;1
C1452;PRTN;CC;0CE000;C01;1;0
IP11046;PRTN;CC;0CE000;C03;0;1
C985;PRTN;CC;0CE000;C03;0;1
IP10999;PRTN;CC;0CE000;C28;0;1
IP11046;PRTN;CC;0CE000;C28;0;3
C14127;PRTN;CC;0CE000;C01;1;0
IP13019;PRTN;CC;0CE000;C03;0;1
C635;PRTN;CC;0CE000;C03;1;0
C6800;PRTN;CC;0CE000;C03;1;0
IP11003;PRTN;CC;0CE000;C21;0;1
IP11029;PRTN;CC;0CE000;C03;0;1
C12494;PRTN;CC;0CE000;C03;1;2
RS9830;PRTN;CC;0CE000;C99;0;1
PA132;PRTN;CC;0CE000;C21;1;0
C4353;PRTN;CC;0CE000;C01;0;1
C635;PRTN;CC;0CE000;C28;0;1
RS9830;PRTN;CC;0CE000;C21;9;11
C5860;PRTN;CC;0CE000;C03;1;0
C3071;PRTN;CC;0CE000;C18;0;1
C2425;PRTN;CC;0CE000;C99;0;1
IP10997;PRTN;CC;0CE000;C99;0;3
IP11018;PRTN;CC;0CE000;C28;1;0
IP11012;PRTN;CC;0CE000;C19;0;1
IP11049;PRTN;CC;0CE000;C99;0;1
N10885;PRTN;CC;0CE000;C03;0;1
IP11015;PRTN;CC;0CE000;C99;0;1
C7565;PRTN;CC;0CE000;C18;0;1
C1294;PRTN;CC;0CE000;C99;1;0
IP10986;PRTN;CC;0CE000;C28;1;1
C6248;PRTN;CC;0CE000;C18;1;0
IP11012;PRTN;CC;0CE000;C18;0;1
CS10971;PRTN;CC;0CE000;C03;1;0
IP11049;PRTN;CC;0CE000;C01;0;1
IP11010;PRTN;CC;0CE000;C28;0;4
IP11020;PRTN;CC;0CE000;C28;0;1
C7232;PRTN;CC;0CE000;C28;0;1
C7423;PRTN;CC;0CE000;C28;0;1
IP10963;PRTN;CC;0CE000;C28;1;1
IP11049;PRTN;CC;0CE000;C28;0;1
IP11040;PRTN;CC;0CE000;C03;0;1
N10877;PRTN;CC;0CE000;C03;0;2
IP11062;PRTN;CC;0CE000;C28;0;2
