ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERNO_UOMINI;COMANDATI_DISTACCATI_ESTERNO_DONNE;FUORI_RUOLO_ESTERNO_UOMINI;FUORI_RUOLO_ESTERNO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERNO_UOMINI;CONVENZIONI_ESTERNO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C2645;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3979;RALN;FP;0D0103;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C4636;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1474;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7080;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C507;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C5699;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C311;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C5650;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6396;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2869;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C6202;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C879;RALN;FP;0D0103;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C6941;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7187;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1819;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2210;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4078;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C3836;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6680;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6084;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5449;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4234;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6325;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4937;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C2143;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6185;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C8244;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C3296;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1500;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1526;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1138;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C2060;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2932;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1574;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
C4380;RALN;FP;0D0103;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7055;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5105;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6490;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7999;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C901;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6643;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C399;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4893;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6070;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6069;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6997;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1818;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2837;RALN;FP;0D0103;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C1035;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C8278;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5059;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4791;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5733;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1459;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C269;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4974;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C3159;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7059;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C251;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1945;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C5623;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1638;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C524;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5648;RALN;FP;0D0103;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C3556;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3845;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C822;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2867;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6908;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4742;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C3018;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7842;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC10205;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2366;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1412;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
C3445;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2523;RALN;FP;0D0103;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C2336;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C12303;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
