ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
CS14243;RALN;EQ;0FZEQF;Z01;1;4;0;0
CS14243;RALN;DI;0D0165;Z01;1;0;0;0
C8184;RALN;EQ;0FZEQF;Z01;1;1;0;0
C8184;RALN;IR;0IR000;Z01;0;1;0;0
C8184;RALN;RU;0D0I95;Z01;0;1;0;0
C8184;RALN;OE;0OEESP;Z01;4;0;0;0
C4795;RALN;EQ;0FZEQF;Z01;2;2;0,33333333333333;0,33333333333333
C4795;RALN;IR;0IR000;Z01;1;2;0,125;0,25
C4795;RALN;FP;0D0103;Z01;0;3;0;3
C2727;RALN;EQ;0FZEQF;Z01;0;1;0;1
C2727;RALN;OE;0OEESP;Z01;2;0;0;0
C2727;RALN;IR;0IR000;Z01;1;0;0;0
C1237;RALN;OE;0OEESP;Z01;6;28;0;0
C1237;RALN;IR;0IR000;Z01;18;22;0;0
C1237;RALN;OP;0OP000;Z01;0;2;0;0
C1237;RALN;EQ;0FZEQF;Z01;10;45;0;0
CS10093;RALN;IR;0IR000;Z01;1;6;0;0
CS10093;RALN;OE;0OEESP;Z01;2;0;0;0
CS10093;RALN;EQ;0FZEQF;Z01;0;3;0;0
ER11810;RALN;IR;0IR000;Z01;0;8;0;0
ER11810;RALN;DI;0D0165;Z01;32;4;0;0
ER11810;RALN;EQ;0FZEQF;Z01;8;22;0;0
C2229;RALN;IR;0IR000;Z01;1;3;0;0
C2229;RALN;EQ;0FZEQF;Z01;1;2;0;0
C7631;RALN;OP;0OP000;Z01;1;1;0;0
C7631;RALN;FP;0D0102;Z01;2;0;0;0
C7631;RALN;IR;0IR000;Z01;215;372;1,3782051282051;2,3846153846154
C7631;RALN;DI;0D0165;Z01;8;0;0;0
C7631;RALN;EQ;0FZEQF;Z01;153;332;0;0
C7631;RALN;OE;0OEESP;Z01;56;57;0,81159420289855;0,82608695652174
C7631;RALN;DI;0D0164;Z01;8;5;0;0
P9057;RALN;IR;0IR000;Z01;12;2;0;0
P9057;RALN;EQ;0FZEQF;Z01;0;3;0;0
C6482;RALN;IR;0IR000;Z01;4;39;0;0
C6482;RALN;EQ;0FZEQF;Z01;14;18;0;0
C6482;RALN;FP;0D0103;Z01;0;2;0;2
C2288;PRBZ;FP;0D0485;Z01;0;10;0;0
C2288;PRBZ;CB;000725;Z01;8;0;0;0
C2288;PRBZ;CD;000715;Z01;3;0;0;0
C2288;PRBZ;CD;000716;Z01;0;2;0;0
C2288;PRBZ;CB;000723;Z01;0;1;0;0
C2288;PRBZ;CC;000721;Z01;9;1;0;0
IP10343;RALN;IR;0IR000;Z01;1;0;0;0
IP10343;RALN;EQ;0FZEQF;Z01;0;4;0;0
IP10343;RALN;DG;0D0097;Z01;0;1;0;0
C7840;RALN;IR;0IR000;Z01;18;11;3;1,8333333333333
C7840;RALN;OP;0OP000;Z01;1;0;0;0
C7840;RALN;EQ;0FZEQF;Z01;8;12;2;3
C7840;RALN;OE;0OEESP;Z01;2;3;2;3
C6566;RALN;IR;0IR000;Z01;12;18;0;0
C6566;RALN;EQ;0FZEQF;Z01;2;12;0;0
C6566;RALN;OE;0OEESP;Z01;1;14;0;0
C1044;RALN;OE;0OEESP;Z01;0;2;0;0
C1044;RALN;IR;0IR000;Z01;3;7;0;0
C1044;RALN;EQ;0FZEQF;Z01;2;4;0;0
C1531;RALN;IR;0IR000;Z01;0;5;0;0
C1531;RALN;EQ;0FZEQF;Z01;0;1;0;0
C2314;RALN;IR;0IR000;Z01;1;1;0;0
C2314;RALN;OE;0OEESP;Z01;0;1;0;0
C2314;RALN;EQ;0FZEQF;Z01;0;1;0;0
C3135;RALN;IR;0IR000;Z01;28;35;0,53846153846154;0,67307692307692
C3135;RALN;OE;0OEESP;Z01;7;1;0;0
C3135;RALN;DI;0D0164;Z01;5;3;0;0
C3135;RALN;RP;000096;Z01;1;3;0;0
C3135;RALN;FP;0D0102;Z01;2;0;0;0
C3135;RALN;EQ;0FZEQF;Z01;15;10;1,3636363636364;0,90909090909091
C6228;RALN;RU;0D0I95;Z01;2;0;0;0
C6228;RALN;EQ;0FZEQF;Z01;0;6;0;6
C1196;REFR;CB;0B8000;Z01;1;0;0;0
C1196;REFR;XA;0PL910;Z01;1;0;0;0
C1196;REFR;CB;037000;Z01;1;0;0;0
C1196;REFR;CD;0D7000;Z01;0;1;0;0
C1196;REFR;CC;043000;Z01;0;1;0;0
C1196;REFR;CD;050000;Z01;0;1;0;0
C1196;REFR;CC;040000;Z01;2;2;0;0
C1196;REFR;CD;048000;Z01;0;1;0;0
C1196;REFR;CC;042000;Z01;0;2;0;0
C1196;REFR;XA;0PL0A6;Z01;0;1;0;0
