ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C6903;RALN;ND;IR;0,01;0;0;0;0;0;0;0
C3735;REVA;NF;CC;0;0;0;0;2;1;0;0
C3735;REVA;NF;CB;0;0;0;0;1;0;0;0
C7737;RALN;ND;IR;0;0;0;1,08;0;0;0;0
C2869;RALN;ND;OE;0;0;0;0;0;0;0,07;0
C6238;RALN;ND;PC;0;0,5;0;0;0;0;0;0
C6238;RALN;ND;EQ;0;1;0;0;0;0;0;0
C3406;RALN;ND;EQ;0;3;0;0;0;0;0;0
M8668;MNST;MM;FU;32,43;22,93;0;0;0;0;0;0
M8668;MNST;MM;AT;1,01;1,9;0;0;0;0;0;0
C5436;RALN;ND;IR;0,43;2,21;0;0;0;0;0;0
C6563;RALN;ND;IR;0,23;0;0;0;0;0;0;0
C6563;RALN;ND;EQ;0;1;0;0;0;0;0;0
C6248;PRTN;NF;PC;0;0;0;0;0;0;3;2
C6248;PRTN;NF;CB;0;0,09;0;0;0;0;0;0
C6248;PRTN;NF;CC;0;0,5;0;0;0;0;0;0
C6248;PRTN;NF;CA;0;0,54;0;0;0;0;0;0
CV14416;AFAM;AT;PR;0;0,27;0;0;0;0;0;0
CV14416;AFAM;AT;PA;0,18;0;0;0;0;0;0;0
C6928;PRBZ;NF;CA;1;0,33;0;0;0;0;0;0
C6928;PRBZ;NF;PC;0;0;0;0;0;0;0,25;0,43
C1295;RALN;ND;IR;0;0,29;0;0;0;0;0;0
C3254;RALN;ND;OE;0,25;0;0;0;0;0;0;0
C3254;RALN;ND;OP;0;0,65;0;0;0;0;0;0
C7254;RALN;ND;IR;0,75;0,5;0;0;0;0;0;0
C3530;RALN;ND;IR;0,75;0,5;0;0;0;0;0;0
CS12816;RALN;ND;IR;0;0;0;0;0;1;0;0
Q9180;UNIV;ND;PC;1;1,25;0;0;0;0;0;0
Q9180;UNIV;ND;CD;0;1,03;0;0;0;0;0;0
Q9180;UNIV;ND;RC;52,8;45,09;0;0;0;0;0;0
C1129;PRTN;NF;PC;0;0;0;0;0;0;1,13;0,58
C881;PRTN;NF;CA;0;0,37;0;0;0;0;0;0
LS12143;LS13;NF;LI;4,27;13,85;0;0;0,76;0,4;0;0
Q9131;UNIV;ND;CD;24,16;41,73;0;0;0;0;0;0
Q9131;UNIV;ND;PC;18;10;0;0;0;0;0;0
Q9131;UNIV;ND;RC;508,91;485,72;0;0;0;0;0;0
Q9131;UNIV;ND;CC;22,14;34,17;0;0;0;0;0;0
Q9131;UNIV;ND;AL;4,99;10,01;0;0;0;0;0;0
C6962;REFR;SC;CB;0;0;0;0;0;1;1,14;0
CS10380;RALN;ND;IR;0;0;0;0;0,88;2,5;0;0
C6502;RALN;ND;EQ;0,35;0;0;0;0;0;0;0
C7839;RALN;ND;OP;6,03;0;0;0;0;0;0;0
C230;RALN;ND;EQ;0;1;0;0;0;0;0;0
C1510;RALN;ND;EQ;0;1,74;0;0;0;0;0;0
C2868;RALN;ND;IR;1;2;0;0;0;0;0;0
C2077;RALN;ND;OE;0,67;0,67;0;0;0;0;0;0
C2077;RALN;ND;IR;3,9;8,41;0;0;0;0;0;0
C553;RALN;ND;EQ;0;1;0;0;0;0;0;0
C4258;RALN;ND;IR;0;0,17;0;0;0;0;0;0
C4945;RALN;ND;EQ;0;0;0;0;0;0,66;0;0
C4945;RALN;ND;OE;0;0;0;0;0;0,64;0;0
C653;RALN;ND;IR;1;0;0;0;0;0;0;0
C2504;RALN;ND;EQ;0,45;0;0;0;0;0;0;0
C2504;RALN;ND;IR;0,39;0,34;0;0;0;0;0;0
C3015;RALN;ND;OP;0;0;0;0;0,14;0;0;0
C3015;RALN;ND;IR;0,34;0;0;0;0;0;0;0
CS12838;RALN;ND;EQ;1;0;0;0;0;0;0;0
C4222;RALN;ND;IR;0;0,62;0;0;0;0;0;0
C3817;RALN;ND;EQ;0,5;0,93;0;0;0;0;0;0
C2307;PRBZ;NF;CC;0;0,4;0;0;0;0;0;0
C2307;PRBZ;NF;CB;0,6;0;0;0;0;0;0;0
C2307;PRBZ;NF;CD;0;0,35;0;0;0;0;0;0
C2307;PRBZ;NF;CA;0;0;0;0;0;0;1,63;0,27
C6589;RALN;ND;OP;0;0;0;0;0;0;0;2,25
C6589;RALN;ND;IR;0,61;0;0;0;0;0;0;0
C6589;RALN;ND;EQ;0;0,6;0;0;0;0;0;0
Q9170;UNIV;ND;RC;22,97;18,67;0;0;0;0;0;0
Q9170;UNIV;ND;CE;0;2;0;0;0;0;0;0
Q9170;UNIV;ND;CD;0,27;1,27;0;0;0;0;0;0
Q9170;UNIV;ND;PC;16,65;6,36;0;0;0;0;0;0
C542;RALN;ND;IR;1;0;0;0;0;0;0;0
C542;RALN;ND;OP;0;0;0;0;2;1;0;0
C7316;RALN;ND;EQ;0;0;0;0;0,16;0;0;0
P9042;RALN;ND;IR;0;0,08;0;0;0;0;0;0
AS12805;LS13;NF;LI;5;6;0;0;0;0;3;0
C4764;PRBZ;NF;CC;0,25;0,42;0;0;0;0;0;0
C3526;RALN;ND;OE;0;0;0;0;0,8;0;0;0
C3526;RALN;ND;EQ;1,75;0;0;0;0;0;0;0
P10790;RALN;ND;EQ;0,5;0,5;0;0;0;0;0;0
P10790;RALN;ND;IR;0,83;2,49;0;0;0;0;0;0
N10878;PRTN;NF;CD;0,41;1,32;0;0;0;0;0;0
N10878;PRTN;NF;CC;0,61;0;0;0;0;0;0;0
D10956;EN60;ND;LI;4;3;0;0;0;0;0;0
C8069;RALN;ND;EQ;0;1;0;0;0;0;0;0
C8069;RALN;ND;IR;0;0,5;0;0;0;0;0;0
C7159;RALN;ND;IR;2;0;0;0;0;0;0;0
C12342;PRTN;NF;CC;0,92;0,27;0;0;0;0;0;0
C12342;PRTN;NF;PC;0;0;0;0;0;0;6,81;0,83
C4937;RALN;ND;EQ;0;0,75;0;0;0;0;0;0
C4937;RALN;ND;PC;0,75;0;0;0;0;0;0;0
C6293;RALN;ND;EQ;0,02;0;0;0;0;0;0;0
C6293;RALN;ND;OP;0;0;0;0;0;0;1,12;0,56
C6904;RALN;ND;EQ;6;1;0;0;0;0;0;0
C6904;RALN;ND;IR;0,54;0,69;0;0;0;0;0;0
C6261;REFR;SC;CC;0;0;0;0;2,92;2,67;0;0
C6261;REFR;SC;CD;0;2;0;0;1;3;0;0
Q9185;UNIV;ND;RC;9,01;9,26;0;0;0;0;0;0
C6405;RALN;ND;OE;0;0;0;0;0;0,27;0;0
C6405;RALN;ND;IR;0;0;0;0;0,87;0;0;0
C6405;RALN;ND;EQ;0,67;0;0;0;0;0;0;0
C7349;RALN;ND;EQ;1,01;14,4;0;0;0;0;0;0
C7349;RALN;ND;IR;5,56;9,5;0;0;0;0;0;0
C5907;RALN;ND;OE;0;0;0;0;0;0;0,47;0
C5907;RALN;ND;IR;0;0,44;0;0;0;0;0;0
C350;RALN;ND;IR;0;3,02;0;0;0;0;0;0
C4690;RALN;ND;IR;0;0,25;0;0;0;0;0;0
C7310;RALN;ND;IR;0;0;0;0;0,33;0;0;0
IP10828;SSNA;ND;PF;0,58;0;0;0;0;0;0;0
IP10828;SSNA;ND;OP;0,07;0,45;0;0;0;0,47;0;0
IP10828;SSNA;ND;PT;0;0,11;0;0;0;0;0;0
C7007;RALN;ND;EQ;0,5;1;0;0;0;0;0;0
C7007;RALN;ND;OE;0,93;0;0;0;0;0;0;0
C7007;RALN;ND;IR;0,5;0,97;0;0;0;0;0;0
C1598;RALN;ND;EQ;1,51;0;0;0;0;0;0;0
C1598;RALN;ND;IR;0,5;0;0;0;0;2;0;0
C6911;RALN;ND;OE;0;0;0;0;0;0;0,39;0,62
C6911;RALN;ND;OP;0;0;0;0;0;0;0,19;0
C5842;RALN;ND;IR;0,08;0,58;0;0;0;0;0;0
C3399;RALN;ND;EQ;0,92;0,21;0;0;0;0;0;0
C3399;RALN;ND;IR;0,33;0;0;0;0;0;0;0
C5342;RALN;ND;IR;0;0,75;0;0;0;0;0;0
C5342;RALN;ND;EQ;1;0;0;0;0;0;0;0
C5342;RALN;ND;OE;1,04;0,47;0;0;1;0;0;0
C7969;RALN;ND;EQ;1,39;0;0;0;0;0;0;0
C7969;RALN;ND;IR;0,19;0,87;0;0;0;0;0;0
C6892;RALN;ND;EQ;0,5;0;0;0;0;0;0;0
C6892;RALN;ND;OP;0;0;0;0;0;0;1,33;0,5
C6892;RALN;ND;IR;0;0,96;0;0;0;0;0;0
C5173;RALN;ND;IR;0;0;0;0;0,25;0;0;0
C5173;RALN;ND;EQ;0;0;0;0;0;0,69;0;0
C3320;RALN;ND;OE;0;0;0;0;0;0;1,75;0
C6099;RALN;ND;IR;0;0,17;0;0;0;0;0;0
C2010;REVA;NF;CB;0;0;0;0;0,08;0;0;0
C2010;REVA;NF;CD;0,81;0;0;0;0;0;0;0
C550;RALN;ND;IR;0,6;0;0;0;1;0;0;0
C1998;RALN;ND;IR;0;1;0;0;0;0;0;0
C6600;RALN;ND;OP;0;0;0;0;0;0;1;0
P9066;RALN;ND;EQ;0,25;0;0;0;0;0;0;0
U10769;SSNA;ND;MV;2,84;2,12;0;0;0;0;0;0
