ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE;PERS_LAVORO_AGILE_U;PERS_LAVORO_AGILE_D;PERS_COWORKING_U;PERS_COWORKING_D
C3646;RALN;ND;OE;0;0;0;3;1;0;0;0;0;0
C3646;RALN;ND;OP;0;0;0;0;1;0;0;0;0;0
C3646;RALN;ND;IR;0;0;5;5;10;6;0;0;0;0
C3735;REVA;NF;CC;0;0;1;1;0;0;1;1;0;0
C3735;REVA;NF;CD;0;0;0;1;0;0;0;0;0;0
C7737;RALN;ND;EQ;0;0;0;0;0;0;1;2;0;0
C2869;RALN;ND;OE;0;0;0;0;3;0;0;0;0;0
C2869;RALN;ND;IR;0;0;0;0;1;0;0;0;0;0
M8668;MNST;MM;FU;0;0;66;69;81;66;1740;2628;34;47
M8668;MNST;MM;OP;0;0;10;0;1;0;22;11;0;0
M8668;MNST;MM;AT;0;0;226;137;47;50;1398;1582;2;1
CS10247;RALN;ND;IR;0;0;0;0;0;0;4;3;0;0
CS10247;RALN;ND;EQ;0;0;0;0;0;0;5;2;0;0
CS10247;RALN;ND;OE;0;0;0;0;0;0;0;1;0;0
C5436;RALN;ND;IR;0;0;1;2;0;2;0;0;0;0
C6563;RALN;ND;EQ;0;0;0;0;1;1;0;0;0;0
C6563;RALN;ND;IR;0;0;1;3;0;0;0;0;0;0
C6928;PRBZ;NF;CA;0;0;0;0;2;0;0;0;0;0
C6928;PRBZ;NF;CD;0;0;0;0;0;0;0;1;0;0
C6928;PRBZ;NF;CC;0;0;0;0;0;0;0;1;0;0
C1295;RALN;ND;IR;0;0;1;3;2;0;0;1;0;0
C1295;RALN;ND;PC;0;0;0;0;5;0;0;0;0;0
C1295;RALN;ND;EQ;0;0;1;0;0;1;0;0;0;0
C3254;RALN;ND;OE;0;0;0;0;3;0;0;0;0;0
C3254;RALN;ND;EQ;0;0;0;3;0;0;0;0;0;0
C3254;RALN;ND;IR;0;0;5;3;1;0;0;0;0;0
C2728;RALN;ND;IR;1;0;0;0;0;0;0;0;0;0
C2728;RALN;ND;EQ;0;1;0;0;0;0;0;0;0;0
