ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIENO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
C3999;RALN;EQ;0FZEQF;0;1;0;0;0;1
C3999;RALN;RP;000096;0;0;1;0;0;0
C3999;RALN;OE;0OEESP;0;1;0;0;0;0
C3999;RALN;IR;0IR000;1;0;0;0;0;0
C813;RALN;EQ;0FZEQF;2;1;0;0;0;0
C813;RALN;IR;0IR000;1;2;0;0;0;1
C813;RALN;OE;0OEESP;5;5;0;0;0;1
C4433;REVA;CC;042000;2;5;0;0;0;0
C4433;REVA;CB;032000;3;0;0;0;0;0
C4433;REVA;FP;0D0103;0;1;0;0;0;0
C4433;REVA;CC;040000;1;0;0;0;0;0
C7872;RALN;OE;0OEESP;2;3;0;0;0;1
C7872;RALN;FP;0D0103;0;0;1;0;0;0
C7872;RALN;IR;0IR000;12;9;0;0;0;0
C7872;RALN;EQ;0FZEQF;5;2;0;0;0;0
C6063;RALN;OP;0OP000;0;0;0;0;2;0
C6063;RALN;EQ;0FZEQF;2;0;0;0;0;0
C6063;RALN;RU;0D0I95;1;0;0;0;0;0
C6063;RALN;IR;0IR000;1;0;0;0;0;0
C6375;RALN;OP;0OP000;0;0;0;0;1;1
C6375;RALN;OE;0OEESP;3;0;1;0;0;0
C6375;RALN;EQ;0FZEQF;2;5;0;0;0;0
C6375;RALN;IR;0IR000;4;5;0;0;0;0
C298;RALN;OP;0OP000;0;1;0;0;0;0
C298;RALN;EQ;0FZEQF;1;4;0;0;0;0
C298;RALN;OE;0OEESP;1;0;0;0;0;0
C298;RALN;IR;0IR000;1;4;0;0;0;0
C5155;RALN;IR;0IR000;3;0;0;0;0;0
C5155;RALN;OE;0OEESP;1;0;0;0;0;0
C5155;RALN;EQ;0FZEQF;1;1;0;0;0;0
C5707;RALN;EQ;0FZEQF;3;0;0;0;1;0
C5707;RALN;OP;0OP000;2;0;0;0;0;0
C5707;RALN;FP;0D0103;1;0;0;0;0;0
C5707;RALN;OE;0OEESP;1;3;0;0;0;0
C5707;RALN;RP;000096;0;0;0;0;0;1
C5707;RALN;IR;0IR000;10;3;0;1;0;0
OL13749;EPNE;AT;0AS000;0;7;0;0;0;0
OL13749;EPNE;D2;0D0080;0;1;0;0;0;0
OL13749;EPNE;FU;0FZ000;0;6;1;0;0;1
OL13833;EPNE;AT;0AS000;0;1;0;0;0;0
OL13833;EPNE;FU;0FZ000;0;1;0;0;0;0
C7099;PRBZ;CA;000727;3;0;0;0;0;1
C7099;PRBZ;CC;000722;1;0;0;0;0;0
C7099;PRBZ;CC;000721;7;4;0;0;0;11
C7099;PRBZ;CD;000715;1;0;0;0;0;0
C7099;PRBZ;CB;000725;12;1;0;0;1;0
C7099;PRBZ;CB;000723;2;2;0;1;0;4
C7099;PRBZ;CD;000717;1;0;0;0;0;0
C7099;PRBZ;CB;000724;0;0;0;0;0;1
C7099;PRBZ;FP;0D0485;1;0;0;0;0;0
C7099;PRBZ;CD;000719;1;1;0;0;0;0
C7099;PRBZ;CA;000730;0;0;0;0;2;0
C7099;PRBZ;CB;000726;0;0;0;0;1;1
C2728;RALN;EQ;0FZEQF;2;2;0;0;0;0
C2728;RALN;OE;0OEESP;3;2;1;1;0;1
C2728;RALN;IR;0IR000;5;13;0;0;0;2
C6658;PRBZ;FP;0D0485;1;0;0;0;0;0
C6658;PRBZ;CA;000727;1;0;0;0;0;0
C6658;PRBZ;CC;000722;1;0;0;0;0;0
C6658;PRBZ;CD;000719;0;1;0;0;0;0
C6658;PRBZ;CB;000723;2;0;0;0;0;0
C6658;PRBZ;CC;000721;1;2;0;2;0;3
C6658;PRBZ;CB;000725;1;0;0;0;0;0
CS10377;RALN;OE;0OEESP;4;19;0;0;0;3
CS10377;RALN;EQ;0FZEQF;4;32;0;1;0;1
CS10377;RALN;DI;0D0165;1;0;0;0;0;0
CS10377;RALN;OP;0OP000;0;0;0;0;0;1
CS10377;RALN;IR;0IR000;1;13;0;0;0;1
C553;RALN;EQ;0FZEQF;0;3;0;0;0;0
C553;RALN;RU;0D0I95;0;1;0;0;0;0
C553;RALN;OE;0OEESP;1;0;0;0;0;0
C553;RALN;IR;0IR000;4;4;0;0;0;0
C2287;RALN;IR;0IR000;0;0;1;4;0;0
C2287;RALN;OE;0OEESP;0;0;1;1;0;0
C4283;RALN;IR;0IR000;0;3;1;0;0;0
C4283;RALN;EQ;0FZEQF;1;3;0;0;0;0
C4283;RALN;OE;0OEESP;2;0;0;0;0;0
C12485;PRTN;CB;0BE000;1;1;0;0;0;0
C12485;PRTN;CA;053000;0;1;0;0;0;1
C12485;PRTN;CB;054000;4;0;0;0;0;0
C12485;PRTN;FP;0D034C;0;1;0;0;0;0
C12485;PRTN;CC;056000;1;3;0;0;0;3
C12485;PRTN;CD;057000;0;0;1;0;0;0
C12485;PRTN;CC;0CE000;0;4;1;0;0;2
C7285;RALN;IR;0IR000;6;9;0;0;0;0
C7285;RALN;OE;0OEESP;1;0;0;0;0;0
C7285;RALN;EQ;0FZEQF;4;2;0;1;0;1
C1634;RALN;EQ;0FZEQF;0;1;0;0;0;0
C1634;RALN;IR;0IR000;0;1;0;0;0;0
C1634;RALN;OE;0OEESP;2;0;0;0;0;0
C1182;RALN;IR;0IR000;0;4;0;0;0;0
C1182;RALN;OP;0OP000;0;0;0;1;0;0
C1182;RALN;OE;0OEESP;0;0;0;0;0;1
C1182;RALN;EQ;0FZEQF;1;0;0;0;0;0
C8274;RALN;EQ;0FZEQF;0;3;0;0;0;0
C8274;RALN;OE;0OEESP;1;0;0;0;0;0
C7717;RALN;IR;0IR000;10;7;0;0;1;1
C7717;RALN;OE;0OEESP;5;2;0;0;0;2
C7717;RALN;EQ;0FZEQF;3;4;0;1;0;1
Q9155;UNIV;CC;043000;10;32;1;0;0;3
Q9155;PRUN;RI;0D0177;39;44;0;0;0;0
Q9155;UNIV;CD;050000;26;27;2;3;0;6
Q9155;UNIV;CC;040000;58;120;1;2;1;4
Q9155;UNIV;CD;048000;41;81;1;1;1;1
Q9155;PRUN;PR;0D0168;7;0;0;0;0;0
Q9155;UNIV;CB;034000;31;17;1;0;1;3
Q9155;PRUN;PR;0D0AP2;344;261;0;0;0;0
Q9155;UNIV;CB;036000;12;13;0;0;0;3
Q9155;UNIV;CC;097000;40;55;0;0;1;11
Q9155;UNIV;CC;046000;48;48;1;2;0;11
Q9155;UNIV;AL;000676;11;29;0;0;0;0
Q9155;PRUN;PR;0D0172;7;1;0;0;0;0
Q9155;UNIV;CD;051000;43;53;1;2;0;7
Q9155;UNIV;CC;0C8000;13;10;0;0;0;4
Q9155;UNIV;CB;0B7000;11;27;0;0;0;4
Q9155;UNIV;CE;062000;7;9;0;0;0;0
Q9155;PRUN;PR;0D0AD2;14;5;0;0;0;0
Q9155;PRUN;RI;0D0RTP;120;57;0;0;0;0
Q9155;PRUN;PR;0D0169;68;41;0;0;0;0
Q9155;UNIV;CD;052000;13;15;1;0;2;2
Q9155;UNIV;D2;0D0079;4;4;0;0;0;0
Q9155;UNIV;CE;063000;2;4;0;0;0;0
