ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
37;SSNA;MD;SD0035;MD;SD0036;O;1
37;SSNA;MD;SD0035;MD;SD0E33;O;2
37;SSNA;MD;SD0035;MD;SD0E34;O;2
37;SSNA;MD;SD0036;MD;SD0N33;O;1
37;SSNA;MD;SD0E34;MD;SD0035;O;1
37;SSNA;AT;AT;AT;AT;O;24
37;SSNA;OP;AOP870;OP;TOP059;O;1
37;SSNA;OP;OP;OP;OP;O;125
37;SSNA;PF;PF;PF;PF;O;202
37;SSNA;PT;PT;PT;PT;O;16
9899;SSNA;AT;AT;AT;AT;O;0
9899;SSNA;OP;OP;OP;OP;O;0
9899;SSNA;PF;PF;PF;PF;O;0
9899;SSNA;PT;PT;PT;PT;O;0
9899;SSNA;PT;TPT092;PT;APT017;O;1
9899;SSNA;DA;AD0S31;DA;AD0032;O;1
192;SSNA;PC;000061;DP;PD0S09;V;1
192;SSNA;BI;SD0A12;BI;SD0E12;O;2
192;SSNA;FI;SD0E41;FI;SD0E42;O;1
192;SSNA;AT;AT;AT;AT;O;49
192;SSNA;AT;TAT119;PF;TPF026;V;2
192;SSNA;OP;OP;OP;OP;O;5
192;SSNA;PF;PF;PF;PF;O;285
192;SSNA;PF;TPF026;DP;PD0S45;V;1
192;SSNA;PT;PT;PT;PT;O;14
192;SSNA;DT;TD0A01;DT;TD0S01;O;1
192;SSNA;DT;TD0A02;DT;TD0S02;O;4
192;SSNA;DT;TD0S02;DT;TD0C02;O;2
193;SSNA;AT;AT;AT;AT;O;0
193;SSNA;OP;OP;OP;OP;O;0
193;SSNA;PF;PF;PF;PF;O;0
193;SSNA;PF;TPF026;DT;TD0A02;V;1
193;SSNA;PT;PT;PT;PT;O;0
193;SSNA;DT;TD0A02;DT;TD0S02;O;1
193;SSNA;DT;TD0S02;PF;TPFCTS;V;1
194;SSNA;DG;0D0482;CH;SD0E16;V;1
194;SSNA;BI;SD0A12;BI;SD0E12;O;1
194;SSNA;CH;SD0E15;CH;SD0E16;O;2
194;SSNA;AT;AAT117;AT;TAT119;O;1
194;SSNA;AT;AAT117;PF;APF028;V;2
194;SSNA;AT;AT;AT;AT;O;0
194;SSNA;OP;OP;OP;OP;O;0
194;SSNA;PF;APF028;PF;TPF026;O;1
194;SSNA;PF;PF;PF;PF;O;0
194;SSNA;PF;SPFASE;PF;SPFPRV;O;3
194;SSNA;PF;TPFCTS;PF;TPF026;O;3
194;SSNA;PT;APT017;AT;AAT117;V;1
194;SSNA;PT;PT;PT;PT;O;0
194;SSNA;PT;TPT092;OP;TOP059;V;1
194;SSNA;DA;AD0A31;DA;AD0032;O;1
194;SSNA;DP;PD0044;DG;0D0482;V;1
194;SSNA;DT;TD0A02;DT;TD0S02;O;5
195;SSNA;BI;SD0E12;BI;SD0A12;O;1
195;SSNA;FI;SD0E42;DG;0D0482;V;1
195;SSNA;AT;AT;AT;AT;O;0
195;SSNA;OP;OP;OP;OP;O;0
195;SSNA;PF;PF;PF;PF;O;0
195;SSNA;PT;PT;PT;PT;O;0
195;SSNA;DT;TD0002;DG;0D0097;V;1
196;SSNA;BI;SD0E12;BI;SD0E13;O;1
196;SSNA;AT;AT;AT;AT;O;25
196;SSNA;OP;OP;OP;OP;O;2
196;SSNA;PF;PF;PF;PF;O;124
196;SSNA;PT;PT;PT;PT;O;2
199;SSNA;AT;AAT117;PF;APF028;V;1
199;SSNA;AT;AT;AT;AT;O;0
199;SSNA;AT;TAT119;PF;TPF026;V;12
199;SSNA;OP;AOP870;AT;AAT117;V;3
199;SSNA;OP;OP;OP;OP;O;0
199;SSNA;PF;PF;PF;PF;O;0
199;SSNA;PF;SPFPRV;PF;SPFASE;O;1
