ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
N12514;REFR;CC;24446,49;0;2069,06;115,9;1366,12;493,16
N12514;REFR;CB;23070;0;1930;0;1264;0
N12514;REFR;CD;29328,25;0;2578,32;94,73;3570,18;4084,03
N12514;REFR;XA;24741,18;19,43;2059,13;282,71;2919,16;1328,33
N12514;REFR;XC;33207;0;3624;0;12802;0
C7361;REFR;FP;41779;0;5638;0;43626;679
C7361;REFR;CC;24629,97;3,28;2053,84;426,38;1321,22;2722,02
C7361;REFR;CB;21576,25;42,27;1806,07;160,99;1216,94;2443,06
C7361;REFR;CD;29035,66;10,57;2679,53;185,07;7756,31;2153,28
C7361;REFR;XA;25433,38;0;2119,5;930;2849;5113
C7361;REFR;XC;33337;0;3420;0;20257;0
C6834;REFR;FP;41779;0;5932;0;23405;25958
C6834;REFR;CC;24734,86;5,79;2060,09;598,17;1262,85;2613,88
C6834;REFR;CB;21256,8;0;1772,64;392,96;1072,94;3003,61
C6834;REFR;CD;28890,1;0;2406,97;279,86;4540,39;984,67
C6834;REFR;XA;25401,83;89;2124,17;1967,67;2725,83;4526,33
C6834;REFR;XC;31172;0;2592;0;13511;0
C6166;REFR;FP;41779;0;6603;0;39397;3568
C6166;REFR;CA;20196;0;1683;136;1784;630
C6166;REFR;CC;24838,33;14,29;2074,61;128,55;1388,13;1407,76
C6166;REFR;CB;21191,6;0;1766,8;260,92;1169,77;1533,55
C6166;REFR;CD;29717,6;148,74;2833,9;31,95;6745,81;2184,99
C6166;REFR;XA;25621,6;14,6;2136,6;761,4;2783,8;3164,4
C6166;REFR;XB;29474;0;3084;310;13012;428
C6166;REFR;XS;22054;0;1838;0;1164;1099
C5264;REFR;CC;24702,54;18,52;2044,69;516,32;1327,54;877,55
C5264;REFR;CB;21562,5;9,5;1799,33;172;1180,33;960
C5264;REFR;CD;30403;0;3210;0;11782;0
C5264;REFR;XA;25239,5;95,5;2111,5;1740,5;2816,5;2024
C5264;REFR;XB;28651;0;2802;0;9188;0
C3326;REFR;FP;41779;0;6826;0;49197;13247
C3326;REFR;CC;24839,32;25,34;2080,92;355,16;1322,83;1904,75
C3326;REFR;CB;21437,07;21,15;1795,7;209,36;1227,52;2638,71
C3326;REFR;CD;31300,11;0;3258,78;236,78;11790;831,89
C3326;REFR;XA;24997,6;0;2083,2;962,2;2841,8;4968,6
C3326;REFR;XB;30259,5;0;3088;389;12094,5;3817,5
C3825;REFR;CC;24877,21;94,76;2073,88;266,26;1326,26;1224,71
C3825;REFR;CB;21481,16;1,99;1788,6;348,99;1171,64;1069,57
C3825;REFR;CD;30312,77;11,21;2606,95;184,21;6679,4;1084,28
C3825;REFR;XA;25303,31;15,27;2111,97;375,41;2832,24;4495,81
C3825;REFR;XC;31172;0;2598;0;16213;26
C3825;REFR;XB;30421,5;0;1968;20,25;2848,5;5548,5
C6362;REFR;FP;41779;0;5984;0;35374;4047
C6362;REFR;CC;24552,91;18,2;2051,12;337,42;1320,55;1703,68
C6362;REFR;CB;22151,13;0;1843,23;482,17;1195,37;1421,64
C6362;REFR;CD;31894,82;150,25;3043,86;281,42;7907,41;2977,87
C6362;REFR;XA;24543;0;2046;687;2062;1863
C6362;REFR;XB;27469;0;2957;117;14701;0
C1196;REFR;CC;24354,07;0;2029,62;240,94;1157,12;1436,09
C1196;REFR;CB;21435,67;0;1788;610,33;1179,33;2659,67
C1196;REFR;CD;30093,33;0;3108,33;337,33;11130,67;472,33
C1196;REFR;XA;24060;0;2005;1398;2847;3160
C4424;REFR;DI;44900,57;0;3713,83;5,49;43079,66;0
C4424;REFR;FP;42072;0;3534;0;61218;627
C4424;REFR;CA;19554,78;0;1629,91;0;1728;1065,04
C4424;REFR;CC;24975,68;27,08;2081,74;368,36;1492,05;1411,65
C4424;REFR;CB;21601,59;25,88;1801,99;545,84;1160,38;1393,82
C4424;REFR;CD;28958,53;13,43;2563,63;377,81;3600,28;2058,28
C4424;REFR;XA;24968,06;17,86;2072,56;464,39;2829,72;3689,18
C4424;REFR;XB;29668,5;0;3169,5;561;13756;182
C4057;REFR;FP;41779;0;6826;0;42103;18679
C4057;REFR;CA;20196;0;1683;0;1784;3757
C4057;REFR;CC;24948,42;30,28;2174,86;179,01;1461,69;4780,36
C4057;REFR;CB;21694,7;0,55;1812,08;399,67;1205,33;4909,64
C4057;REFR;CD;28813;0;2951,13;192;12101,88;4411,25
C4057;REFR;XA;24060,18;0;2005,07;157,79;2796;5422,39
C4057;REFR;XC;32103;215;3693;3347;19513;65
C1204;REFR;CC;24931,52;0;2067,55;216,2;1483,89;1462,99
C1204;REFR;CB;21274,26;0;1772,2;158,17;1379,54;1284,04
C1204;REFR;CD;30421,6;54;3199,8;471,8;12716,4;1048,8
C1204;REFR;XA;25049,79;0;2115,52;555,1;2866,15;3426,71
C1204;REFR;XB;27469;0;2828;156;9379;0
C5180;REFR;CC;25149,94;0,9;2412;436,3;1325,28;1855,88
C5180;REFR;CB;20811,9;0;1735,08;786,98;1160,63;1013,49
C5180;REFR;CD;30937,13;0;2598,88;71,46;9880,04;5182,46
C5180;REFR;XA;25523,5;0;2127;1387;2834,75;3979,5
C5180;REFR;XB;28651;0;2388;0;18757;0
C2235;REFR;FP;41779;0;6784;0;42160;840
C2235;REFR;CA;17400;0;1443,5;22,75;1538,25;1475,25
C2235;REFR;CC;24708,33;24,57;2041,49;314,84;1321,61;1870,2
C2235;REFR;CB;21581,54;24,34;1791,84;699,01;1184,32;1866,39
C2235;REFR;CD;29085,37;18,31;2560,58;397,06;3683,69;2287,88
C2235;REFR;XA;24943,86;21,61;2165,61;270,88;2894,88;4104,98
C2235;REFR;XB;30671;0;2556;0;6583;0
C4206;REFR;CC;24673,67;0;2056;155,67;1370,33;1256,33
C4206;REFR;CB;20455,67;0;1704,67;263;1207;1659,67
C4206;REFR;CD;32323,84;0;2667,03;211,3;8564,86;0
C7695;REFR;DI;44900,36;7,09;3714,45;0;43083;512,73
C7695;REFR;FP;42281;0;3499;0;78099;0
C7695;REFR;CA;19603,21;20,11;1636,54;139,66;1692,62;2014,39
C7695;REFR;CC;24728,79;26,14;2084,17;139,89;1481,02;1403,72
C7695;REFR;CB;21283,6;37,4;1767,58;282,82;1109,35;1603,61
C7695;REFR;CD;29060,9;17,05;2445,09;147,52;2685,04;1416,1
C7695;REFR;XA;24688,38;16,66;2065,17;390,19;2769,31;4060,33
C7695;REFR;XB;29195,36;77,55;2437,18;657,18;3886,91;3782
C2311;REFR;CB;21590,25;0;1802,5;327,75;1203;966,75
C2311;REFR;CD;32103;0;2675;508;14007;1596
C631;REFR;CA;20679;15;1724,5;108;1827;2496,5
C631;REFR;CC;24795,06;16,23;2068,18;467,69;1322,59;2428,27
C631;REFR;CB;21536,83;28,52;1799,77;592,74;1193,02;2755,97
C631;REFR;CD;30034,44;0;2835,79;475,67;6839,91;1967,8
C631;REFR;XA;25284,47;33,27;2146,07;403,64;2811,7;4086,81
C631;REFR;XB;28651;0;3184;78;14670;0
U14017;REFR;DI;44566;0;5252;0;22221;0
U14017;REFR;CC;25410,9;57,86;2122,59;0;2003,73;1820,66
U14017;REFR;CB;22407,97;11,55;1886,42;0;1168,32;1559,62
U14017;REFR;CD;29377,1;6,19;2579,95;0;3234,35;1546,88
C2879;REFR;CC;25216;0;2101,5;19,5;1325,5;2814
C2879;REFR;CB;20257,1;0;1681,01;279,04;1153,02;1812,94
C2879;REFR;CD;32282;0;3167;0;7233;1784
C5586;REFR;CC;24146,38;0;2013,48;289,58;1317,42;193,7
